iter	Passed	Remaining
0	151	150975
1	154	77018
2	158	52700
3	162	40360
4	164	32736
5	168	27955
6	172	24444
7	173	21499
8	174	19160
9	175	17400
10	176	15861
11	178	14658
12	178	13579
13	180	12694
14	181	11891
15	182	11206
16	183	10608
17	184	10070
18	185	9579
19	186	9144
20	187	8741
21	188	8371
22	189	8029
23	189	7705
24	190	7416
25	190	7153
26	191	6908
27	192	6687
28	193	6473
29	193	6268
30	194	6075
31	194	5894
32	195	5723
33	195	5563
34	196	5412
35	196	5271
36	197	5134
37	197	5006
38	198	4884
39	198	4767
40	199	4655
41	199	4551
42	200	4451
43	200	4354
44	200	4263
45	201	4176
46	201	4091
47	202	4009
48	202	3932
49	203	3857
50	203	3787
51	204	3719
52	204	3655
53	205	3593
54	205	3532
55	206	3473
56	206	3416
57	206	3361
58	207	3308
59	207	3257
60	208	3207
61	208	3160
62	209	3113
63	209	3068
64	210	3023
65	210	2980
66	211	2938
67	211	2895
68	211	2855
69	212	2818
70	212	2781
71	213	2745
72	213	2710
73	213	2675
74	214	2642
75	214	2610
76	215	2578
77	215	2547
78	215	2517
79	216	2488
80	216	2459
81	217	2432
82	217	2405
83	218	2380
84	218	2353
85	219	2328
86	219	2302
87	219	2279
88	220	2256
89	220	2233
90	221	2210
91	221	2189
92	222	2167
93	222	2145
94	223	2124
95	223	2104
96	223	2084
97	224	2065
98	224	2046
99	225	2027
100	225	2009
101	225	1989
102	226	1971
103	226	1953
104	227	1936
105	227	1919
106	228	1903
107	228	1887
108	228	1871
109	229	1856
110	229	1840
111	230	1825
112	230	1811
113	231	1797
114	231	1783
115	232	1769
116	232	1756
117	233	1743
118	233	1729
119	234	1716
120	234	1703
121	235	1691
122	235	1677
123	235	1665
124	236	1652
125	236	1641
126	237	1629
127	237	1616
128	237	1605
129	238	1594
130	238	1583
131	239	1572
132	239	1562
133	240	1551
134	240	1540
135	240	1530
136	241	1520
137	241	1509
138	242	1499
139	242	1490
140	243	1480
141	243	1471
142	243	1461
143	244	1453
144	245	1444
145	245	1436
146	246	1427
147	246	1418
148	246	1409
149	247	1401
150	247	1392
151	248	1384
152	248	1375
153	248	1367
154	249	1360
155	249	1352
156	250	1344
157	250	1336
158	251	1328
159	251	1320
160	252	1313
161	252	1305
162	252	1298
163	253	1290
164	253	1284
165	254	1277
166	254	1270
167	255	1263
168	255	1256
169	255	1249
170	256	1243
171	256	1236
172	257	1229
173	257	1224
174	258	1218
175	258	1212
176	259	1206
177	259	1200
178	260	1193
179	260	1187
180	260	1180
181	261	1174
182	261	1168
183	262	1162
184	262	1157
185	263	1151
186	263	1145
187	264	1140
188	264	1135
189	264	1129
190	265	1124
191	265	1118
192	266	1113
193	266	1107
194	267	1102
195	267	1097
196	268	1092
197	268	1087
198	268	1082
199	269	1077
200	269	1072
201	270	1067
202	270	1063
203	271	1058
204	271	1054
205	272	1049
206	272	1045
207	273	1040
208	273	1035
209	274	1031
210	274	1026
211	274	1022
212	275	1017
213	275	1013
214	276	1009
215	276	1004
216	277	1000
217	277	995
218	278	991
219	278	987
220	278	983
221	279	978
222	279	974
223	280	970
224	280	966
225	281	962
226	281	958
227	281	954
228	282	950
229	282	946
230	283	942
231	283	938
232	284	935
233	284	931
234	285	928
235	285	924
236	286	921
237	286	917
238	287	914
239	287	910
240	287	906
241	288	903
242	288	899
243	289	896
244	289	892
245	290	889
246	290	885
247	290	882
248	291	878
249	291	875
250	292	871
251	292	868
252	293	865
253	293	862
254	293	858
255	294	855
256	294	852
257	295	849
258	295	846
259	296	842
260	296	839
261	297	836
262	297	833
263	298	831
264	298	828
265	299	825
266	299	822
267	299	819
268	300	816
269	300	813
270	301	810
271	301	807
272	302	804
273	302	801
274	302	798
275	303	795
276	303	792
277	304	790
278	304	787
279	305	784
280	305	782
281	306	779
282	306	776
283	306	773
284	307	771
285	307	768
286	308	766
287	308	763
288	309	760
289	309	758
290	310	755
291	310	753
292	311	750
293	311	748
294	312	746
295	312	743
296	313	741
297	313	738
298	314	736
299	314	733
300	314	731
301	315	728
302	315	726
303	316	723
304	316	721
305	317	719
306	317	716
307	318	714
308	318	712
309	318	709
310	319	707
311	319	705
312	320	702
313	320	700
314	321	698
315	321	696
316	322	693
317	322	691
318	323	689
319	323	687
320	323	685
321	324	683
322	325	681
323	325	679
324	326	677
325	326	675
326	326	672
327	327	670
328	327	668
329	328	666
330	328	664
331	329	662
332	329	660
333	330	658
334	330	656
335	331	654
336	331	652
337	331	650
338	332	647
339	332	645
340	333	643
341	333	641
342	334	639
343	334	638
344	334	636
345	335	634
346	335	632
347	336	630
348	336	628
349	337	626
350	337	624
351	338	622
352	338	620
353	339	618
354	339	616
355	340	615
356	340	613
357	340	611
358	341	609
359	341	607
360	342	605
361	342	604
362	343	602
363	343	600
364	344	598
365	344	596
366	344	594
367	345	592
368	345	591
369	346	589
370	346	587
371	347	585
372	347	584
373	347	582
374	348	580
375	348	578
376	349	577
377	349	575
378	350	573
379	350	571
380	351	570
381	351	568
382	352	567
383	352	565
384	353	563
385	353	562
386	353	560
387	354	558
388	354	557
389	355	555
390	355	553
391	356	552
392	356	550
393	356	548
394	357	547
395	357	545
396	358	543
397	358	542
398	358	540
399	359	539
400	359	537
401	360	535
402	360	534
403	361	532
404	361	531
405	361	529
406	362	528
407	362	526
408	363	524
409	363	523
410	364	521
411	364	520
412	365	519
413	365	517
414	366	516
415	366	514
416	367	513
417	367	512
418	368	510
419	368	509
420	369	507
421	369	506
422	369	504
423	370	503
424	370	501
425	371	500
426	371	498
427	372	497
428	372	495
429	372	494
430	373	492
431	373	491
432	374	490
433	374	488
434	375	487
435	375	485
436	375	484
437	376	482
438	376	481
439	377	480
440	377	478
441	378	477
442	379	476
443	379	475
444	379	473
445	380	472
446	380	471
447	381	469
448	381	468
449	382	467
450	382	465
451	383	464
452	383	463
453	384	461
454	384	460
455	384	459
456	385	457
457	385	456
458	386	455
459	386	454
460	387	452
461	387	451
462	388	450
463	388	448
464	389	447
465	389	446
466	389	444
467	390	443
468	390	442
469	391	441
470	391	440
471	392	438
472	392	437
473	393	436
474	393	435
475	394	433
476	394	432
477	394	431
478	395	430
479	395	428
480	396	427
481	396	426
482	397	425
483	397	423
484	398	422
485	398	421
486	398	420
487	399	419
488	399	417
489	400	416
490	400	415
491	401	414
492	401	413
493	402	411
494	402	410
495	403	409
496	403	408
497	403	407
498	404	406
499	404	404
500	405	403
501	405	402
502	406	401
503	406	400
504	407	399
505	407	398
506	408	396
507	408	395
508	409	394
509	409	393
510	410	392
511	410	391
512	411	390
513	411	389
514	411	387
515	412	386
516	412	385
517	413	384
518	413	383
519	414	382
520	414	381
521	415	380
522	415	378
523	415	377
524	416	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	419	369
532	420	368
533	420	367
534	421	366
535	421	364
536	421	363
537	422	362
538	422	361
539	423	360
540	423	359
541	424	358
542	424	357
543	425	356
544	425	355
545	425	354
546	426	353
547	426	352
548	427	350
549	427	349
550	428	348
551	428	347
552	429	346
