iter	Passed	Remaining
0	138	138504
1	139	69646
2	143	47573
3	146	36428
4	148	29584
5	150	25009
6	152	21570
7	153	19024
8	154	17025
9	155	15433
10	157	14154
11	158	13082
12	160	12164
13	161	11366
14	162	10669
15	163	10057
16	164	9498
17	165	9002
18	165	8567
19	166	8170
20	167	7819
21	168	7498
22	169	7206
23	170	6930
24	171	6680
25	172	6451
26	173	6235
27	173	6034
28	174	5842
29	175	5659
30	175	5490
31	176	5330
32	176	5180
33	177	5038
34	177	4905
35	178	4778
36	178	4658
37	179	4547
38	180	4441
39	180	4338
40	181	4239
41	181	4146
42	182	4058
43	182	3973
44	183	3891
45	183	3812
46	184	3735
47	184	3662
48	185	3592
49	185	3525
50	185	3460
51	186	3401
52	187	3343
53	187	3285
54	188	3230
55	188	3176
56	188	3125
57	189	3074
58	189	3026
59	190	2979
60	190	2934
61	191	2890
62	191	2847
63	191	2806
64	192	2766
65	192	2727
66	193	2690
67	193	2653
68	194	2618
69	194	2583
70	194	2549
71	195	2516
72	195	2484
73	196	2453
74	196	2423
75	196	2394
76	197	2365
77	197	2337
78	198	2310
79	198	2283
80	199	2258
81	199	2233
82	199	2206
83	200	2182
84	200	2159
85	201	2136
86	201	2117
87	202	2095
88	202	2074
89	203	2053
90	203	2032
91	203	2012
92	204	1992
93	204	1973
94	205	1954
95	205	1936
96	206	1918
97	206	1900
98	206	1882
99	207	1865
100	207	1848
101	208	1832
102	208	1816
103	208	1800
104	209	1784
105	209	1769
106	210	1754
107	210	1740
108	211	1725
109	211	1711
110	211	1697
111	212	1683
112	212	1670
113	213	1656
114	213	1643
115	214	1630
116	214	1617
117	214	1605
118	215	1592
119	215	1580
120	215	1568
121	216	1556
122	216	1546
123	217	1535
124	217	1524
125	218	1513
126	218	1502
127	218	1491
128	219	1481
129	219	1471
130	220	1460
131	220	1450
132	221	1440
133	221	1431
134	221	1421
135	222	1412
136	222	1402
137	223	1393
138	223	1384
139	223	1375
140	224	1367
141	224	1357
142	225	1348
143	225	1340
144	225	1332
145	226	1323
146	226	1315
147	227	1307
148	227	1299
149	227	1291
150	228	1283
151	228	1276
152	229	1269
153	229	1261
154	230	1254
155	230	1246
156	230	1239
157	231	1232
158	231	1225
159	232	1219
160	232	1212
161	233	1205
162	233	1199
163	233	1192
164	234	1185
165	234	1179
166	235	1173
167	235	1166
168	236	1160
169	236	1154
170	236	1148
171	237	1142
172	237	1136
173	238	1130
174	238	1124
175	239	1119
176	239	1113
177	239	1107
178	240	1101
179	240	1096
180	241	1091
181	241	1085
182	241	1080
183	242	1074
184	242	1069
185	243	1064
186	243	1059
187	244	1054
188	244	1049
189	244	1044
190	245	1039
191	245	1034
192	246	1029
193	246	1024
194	247	1020
195	247	1016
196	248	1011
197	248	1006
198	249	1002
199	249	997
200	249	993
201	250	988
202	250	984
203	251	979
204	251	975
205	251	971
206	252	966
207	252	962
208	253	958
209	253	954
210	254	949
211	254	945
212	254	941
213	255	937
214	255	933
215	256	929
216	256	925
217	256	921
218	257	917
219	257	913
220	258	910
221	258	906
222	259	902
223	259	898
224	259	895
225	260	891
226	260	887
227	261	884
228	261	880
229	262	877
230	262	874
231	263	870
232	263	867
233	263	863
234	264	860
235	264	857
236	265	853
237	265	850
238	266	847
239	266	844
240	266	840
241	267	837
242	267	834
243	268	831
244	268	827
245	269	824
246	269	821
247	269	818
248	270	815
249	270	812
250	271	809
251	271	805
252	271	802
253	272	800
254	272	796
255	273	794
256	273	791
257	274	788
258	274	785
259	274	782
260	275	779
261	275	776
262	276	774
263	276	771
264	277	768
265	277	765
266	277	763
267	278	760
268	278	757
269	279	755
270	279	752
271	280	750
272	280	747
273	281	744
274	281	742
275	281	739
276	282	736
277	282	734
278	283	731
279	283	729
280	283	726
281	284	724
282	284	721
283	285	719
284	285	716
285	286	714
286	286	711
287	286	709
288	287	706
289	287	704
290	288	701
291	288	699
292	288	697
293	289	694
294	289	692
295	290	689
296	290	687
297	290	685
298	291	683
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
306	294	665
307	295	663
308	295	661
309	296	659
310	296	657
311	297	655
312	297	652
313	297	650
314	298	648
315	298	646
316	299	644
317	299	642
318	299	640
319	300	638
320	300	636
321	301	634
322	301	632
323	302	630
324	302	628
325	302	626
326	303	624
327	303	622
328	304	620
329	304	618
330	304	616
331	305	614
332	305	612
333	306	610
334	306	608
335	307	606
336	307	604
337	307	603
338	308	601
339	308	599
340	309	597
341	309	595
342	310	594
343	310	592
344	311	590
345	311	588
346	311	586
347	312	585
348	312	583
349	313	581
350	313	579
351	313	577
352	314	576
353	314	574
354	315	572
355	315	570
356	316	569
357	316	567
358	316	565
359	317	564
360	317	562
361	318	560
362	318	559
363	318	557
364	319	555
365	319	554
366	320	552
367	320	550
368	321	549
369	321	547
370	322	545
371	322	544
372	322	542
373	323	541
374	323	539
375	324	538
376	324	536
377	325	535
378	325	533
379	325	531
380	326	530
381	326	528
382	327	527
383	327	525
384	328	523
385	328	522
386	328	520
387	329	519
388	329	517
389	330	516
390	330	514
391	330	513
392	331	511
393	331	510
394	332	508
395	332	507
396	332	505
397	333	504
398	333	502
399	334	501
400	334	499
401	335	498
402	335	496
403	335	495
404	336	494
405	336	492
406	337	491
407	337	489
408	338	488
409	338	487
410	339	485
411	339	484
412	339	483
413	340	481
414	340	480
415	341	479
416	341	477
417	342	476
418	342	475
419	343	474
420	343	472
421	344	471
422	344	470
423	345	468
424	345	467
425	346	466
426	346	465
427	347	463
428	347	462
429	348	461
430	348	460
431	349	458
432	349	457
433	349	456
434	350	455
435	351	454
436	351	452
437	351	451
438	352	450
439	352	449
440	353	447
441	353	446
442	354	445
443	354	444
444	355	443
445	355	441
446	356	440
447	356	439
448	357	438
449	357	437
450	358	435
451	358	434
452	358	433
453	359	432
454	359	430
455	360	429
456	360	428
457	361	427
458	361	426
459	361	424
460	362	423
461	362	422
462	363	421
463	363	420
464	364	418
465	364	417
466	364	416
467	365	415
468	365	413
469	366	412
470	366	411
471	367	410
472	367	409
473	367	408
474	368	407
475	368	405
476	369	404
477	369	403
478	370	402
479	370	401
480	370	400
481	371	399
482	371	397
483	372	396
484	372	395
485	373	394
486	373	393
487	373	392
488	374	391
489	374	389
